,door_open,has_key,dist_to_key,dist_to_door,dist_to_goal,player_pos,key_pos,door_pos,goal_pos,tier,original_reward
0,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
1,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
2,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
3,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
4,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
5,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
6,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
7,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
8,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
9,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
10,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
11,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
12,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
13,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
14,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
15,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
16,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
17,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
18,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
19,False,False,1,3,5,"(3, 4)","(3, 3)","(4, 2)","(6, 6)",2,0.0
20,False,False,2,4,4,"(3, 5)","(3, 3)","(4, 2)","(6, 6)",2,0.0
21,False,False,2,4,4,"(3, 5)","(3, 3)","(4, 2)","(6, 6)",2,0.0
22,False,False,2,4,4,"(3, 5)","(3, 3)","(4, 2)","(6, 6)",2,0.0
23,False,False,2,4,4,"(3, 5)","(3, 3)","(4, 2)","(6, 6)",2,0.0
